Team,Team Rank,New Rank 90/10,New Rank 80/20,New Rank 70/30,New Rank 60/40,NQS,Wins,Losses,Home Meets,Away Meets,Total Competitions,Win Percentage,Adjusted Win Percentage,Scoring Margin,Team Value Index,Team Efficiency
William & Mary,64,65,67,68,69,192.445,6,15,8,7,21,0.29,-0.34,-42.52499999999998,-7.733333333333333,-2.0749999999999993
Ithaca College,72,71,70,70,70,189.92,10,10,6,6,20,0.5,0.37,7.700000000000131,-0.5999999999999999,1.2550000000000066
UW-Stout,74,74,72,71,71,188.525,9,9,4,6,18,0.5,0.39,18.849999999999966,4.311111111111111,1.9372222222222204
Springfield College,75,75,74,72,72,188.28,11,5,2,7,16,0.69,1.16,1.2500000000000568,6.75,1.9281250000000034
Alaska,69,70,71,73,73,190.95,2,14,4,7,16,0.12,-0.88,-58.22500000000005,-10.024999999999999,-4.399062500000003
Centenary College,73,72,73,74,74,189.805,4,14,3,6,18,0.22,-0.73,-54.37500000000006,-7.555555555555555,-3.5308333333333364
Cortland State,76,76,76,76,75,187.395,4,15,5,6,19,0.21,-0.72,-41.90000000000006,2.347368421052631,-2.71526315789474
Fisk,71,73,75,75,76,190.005,2,28,0,8,30,0.07,-1.76,-165.0499999999999,-19.3,-7.191666666666663
Gustavus Adolphus,79,79,79,78,77,185.21,7,10,4,5,17,0.41,0.02,-38.57499999999996,8.905882352941177,-1.8391176470588213
Ursinus College,77,77,77,77,78,187.325,2,22,8,6,24,0.08,-1.23,-109.12500000000009,-10.275,-5.696875000000004
Rhode Island College,78,78,78,79,79,186.295,2,21,3,7,23,0.09,-1.38,-79.57499999999999,-5.3478260869565215,-4.749782608695652
UW-Eau Claire,80,80,80,80,80,184.95,6,13,3,6,19,0.32,-0.39,-68.47500000000008,-6.252631578947368,-3.673947368421057
Winona State,81,81,81,81,81,183.83,7,16,5,7,23,0.3,-0.41,-69.19999999999996,2.9391304347826077,-3.118695652173911
Hamline,82,82,82,82,82,183.23,2,19,4,7,21,0.1,-1.21,-96.74999999999997,0.04761904761904781,-5.717142857142855
Simpson,84,83,83,83,83,182.08,1,11,2,5,12,0.08,-1.15,-45.799999999999955,-6.166666666666667,-4.886666666666663
Greenville,83,84,84,84,84,182.535,2,9,3,4,11,0.18,-0.76,-102.34999999999994,-18.16363636363636,-9.88454545454545
